visit_date,site_id,pit_tag_ref,swab_id,bd_load,collect_siteid,year
2020-08-16,10225,900043000201211,RKS31587,0,10593,2020
2020-08-16,10225,900043000164532,RKS31588,0,10055,2020
2020-08-16,10225,982091062745982,RKS31589,0,10055,2020
2020-08-16,10225,982091062745999,RKS31590,0,10593,2020
2020-08-16,10225,900043000164531,RKS31586,0,10206,2020
2020-08-16,10225,900043000201364,RKS31591,0,10593,2020
2020-08-16,10225,982091062746074,RKS31592,0,10206,2020
2020-08-16,10225,900043000164821,RKS31593,0,10206,2020
2020-08-17,10223,982091062745969,RKS31603,0,10593,2020
2020-08-16,10225,982091062746034,RKS31594,0,10593,2020
2020-08-17,10223,900043000164839,RKS31595,0,10206,2020
2020-08-17,10223,900043000164553,RKS31596,0,10206,2020
2020-08-17,10223,982091062745988,RKS31597,0,10206,2020
2020-08-17,10223,900043000164836,RKS31598,0,10206,2020
2020-08-17,10223,982091062746103,RKS31599,0,10593,2020
2020-08-17,10223,900043000201036,RKS31600,0,10593,2020
2020-08-17,10223,900043000164886,RKS31601,0,10206,2020
2020-08-17,10223,900043000201329,RKS31602,0,10593,2020
2020-08-18,10225,900043000201070,RKS31604,0,10593,2020
2020-08-18,10225,900043000201119,RKS31605,0,10593,2020
2020-08-18,10225,982091062746028,RKS31606,0,10593,2020
2020-08-18,10225,900043000164872,RKS31607,0,10206,2020
2020-08-18,10225,982091062746110,RKS31608,0,10206,2020
2020-08-18,10225,900067000117149,RKS31609,830.816,NA,2020
2020-08-18,10225,900043000164524,RKS31610,0,10055,2020
2020-08-18,10225,900043000201155,RKS31611,0,10206,2020
2020-08-10,70470,900043000164712,RKS31088,0,70567,2020
2020-08-10,70470,900043000165197,RKS31086,NA,70567,2020
2020-08-10,70470,900043000201248,RKS31087,6673.176,70567,2020
2020-08-16,10223,900043000201028,RKS30960,0,10593,2020
2020-08-16,10223,900043000201243,RKS30962,0,10593,2020
2020-08-16,10223,982091062745989,RKS30961,0,10055,2020
2020-08-16,10223,982126058790662,RKS30959,1335.096,NA,2020
2020-08-18,10223,900043000201283,RKS30991,778.848,10593,2020
2020-08-18,10223,900043000164869,RKS30992,201.368,10206,2020
2020-08-18,10223,900043000201446,RKS30990,0,10593,2020
2020-08-16,10223,900043000164571,RKS30957,128.16,10055,2020
2020-08-18,10223,982091062746026,RKS30997,0,10206,2020
2020-08-16,10223,900043000164521,RKS30970,0,10055,2020
2020-08-16,10223,982091062745981,RKS30950,0,10055,2020
2020-08-16,10223,900043000164813,RKS30952,0,10206,2020
2020-08-16,10223,900043000201171,RKS30958,0,10593,2020
2020-08-18,10223,900043000164522,RKS30988,223.6,10055,2020
2020-08-18,10223,900043000201406,RKS30989,0,10593,2020
2020-08-16,10223,982091062745953,RKS30956,0,10593,2020
2020-08-16,10223,900043000201299,RKS30951,0,10593,2020
2020-08-16,10223,982091062745994,RKS30955,0,10055,2020
2020-08-16,10223,900043000164820,RKS30968,0,10206,2020
2020-08-16,10223,900043000164824,RKS30969,0,10206,2020
2020-08-16,10223,900043000201247,RKS30954,0,10593,2020
2020-08-16,10223,900043000201426,RKS30963,0,10593,2020
2020-08-18,10223,900043000164600,RKS30995,0,10206,2020
2020-08-18,10223,900043000201453,RKS30996,106.04,10593,2020
2020-08-10,70481,900043000201306,RKS30939,3475.536,70397,2020
2020-08-17,10225,982091062745976,RKS30982,2071.632,10593,2020
2020-08-17,10225,900043000201470,RKS30983,692.128,10593,2020
2020-08-18,10223,982091062745997,RKS30998,0,10593,2020
2020-08-18,10223,900043000164507,RKS30993,1444.008,10055,2020
2020-08-10,70481,900043000201391,RKS30940,248936.416,70397,2020
2020-08-16,10223,900043000201452,RKS30953,140.04,10593,2020
2020-08-12,70470,900043000164491,RKS30947,287808.736,70397,2020
2020-08-18,10223,900043000164561,RKS30994,0,10206,2020
2020-08-10,70481,900043000164731,RKS30941,3479.296,70567,2020
2020-08-16,10223,900043000164854,RKS30966,0,10206,2020
2020-08-10,70481,900043000164502,RKS30938,1205.624,70567,2020
2020-08-11,70481,900043000164485,RKS30945,4125.64,70567,2020
2020-08-16,10223,900043000201304,RKS30967,0,10593,2020
2020-08-12,70470,900043000201056,RKS30949,742035.472,70397,2020
2020-08-12,70470,900043000201424,RKS30946,4776.344,70567,2020
2020-08-12,70470,900043000165164,RKS30948,220.808,70567,2020
2020-08-17,10225,900043000164861,RKS30987,0,10206,2020
2020-08-16,10223,900043000164598,RKS30964,0,10206,2020
2020-08-17,10225,900043000201232,RKS30986,221.944,10593,2020
2020-08-11,70481,900043000201024,RKS30943,23558.56,70567,2020
2020-08-11,70481,900043000201333,RKS30944,173012.016,70567,2020
2020-08-16,10223,900043000201250,RKS30965,0,10593,2020
2020-08-11,70481,900043000201450,RKS30942,49315.016,70567,2020
2020-08-17,10225,982091062745974,RKS30985,0,10206,2020
2020-08-17,10225,900043000164807,RKS30984,169.264,10206,2020
2020-08-18,10223,900043000201250,NA,NA,10593,2020
2020-08-18,10223,900043000201304,NA,NA,10593,2020
2020-08-18,10223,900043000201243,NA,NA,10593,2020
2020-08-18,10223,900043000164886,NA,NA,10206,2020
2020-08-18,10223,900043000164553,NA,NA,10206,2020
2020-08-18,10223,900043000201171,NA,NA,10593,2020
2020-08-18,10223,900043000164521,NA,NA,10055,2020
2020-08-18,10223,900043000201036,NA,NA,10593,2020
2020-08-18,10223,900043000164813,NA,NA,10206,2020
2020-08-11,70481,900043000201306,NA,NA,70397,2020
2020-08-17,10223,900043000164521,NA,NA,10055,2020
2020-08-17,10223,900043000201299,NA,NA,10593,2020
2020-08-18,10225,900043000164807,NA,NA,10206,2020
2020-08-17,10223,900043000164820,NA,NA,10206,2020
2020-08-17,10225,982091062746034,NA,NA,10593,2020
2020-08-17,10225,900043000164532,NA,NA,10055,2020
2021-06-18,70470,900043000164712,RKS32090,0,70567,2021
2021-06-19,70470,900043000164712,NA,NA,70567,2021
2021-06-19,70470,900043000165197,RKS31853,0,70567,2021
2021-06-19,70470,900043000164794,RKS31854,0,70567,2021
2021-06-19,70470,900043000164723,RKS31855,2803.616,70567,2021
2021-06-17,70481,900043000164718,RKS31846,0,70567,2021
2021-06-17,70481,900043000164750,RKS31847,7105.624,70567,2021
2021-06-17,70481,900043000164717,RKS31848,0,70567,2021
2021-06-17,70481,900043000201391,RKS31849,739.272,70397,2021
2021-06-18,70481,900043000164747,RKS31850,247.656,70567,2021
2021-06-18,70481,900043000201459,NA,NA,70567,2021
2021-06-18,70481,900043000164734,NA,NA,70567,2021
2021-06-18,70481,900043000164717,NA,NA,70567,2021
2021-06-18,70481,900043000201391,NA,NA,70397,2021
2021-06-18,70481,900043000164502,RKS31851,0,70567,2021
2021-06-18,70481,900043000201256,NA,NA,70567,2021
