site_id,date_min,period,n
10109,2022-07-18,1,4
10109,2023-08-25,2,3
10114,2022-07-18,1,8
10114,2023-08-25,2,5
10223,2020-08-16,1,41
10223,2021-07-25,2,23
10223,2021-09-05,3,30
10223,2022-07-13,4,22
10223,2022-08-27,5,15
10223,2023-08-30,6,6
10225,2020-08-16,1,23
10225,2021-07-25,2,17
10225,2021-09-05,3,18
10225,2022-07-13,4,17
10225,2022-08-27,5,9
10225,2023-08-30,6,4
70470,2019-08-17,1,2
70470,2020-08-10,2,7
70470,2021-06-17,3,5
70470,2021-08-04,4,1
70470,2022-07-03,5,2
70470,2022-08-19,6,2
70481,2019-08-17,1,2
70481,2020-08-10,2,8
70481,2021-06-17,3,12
70481,2021-08-04,4,13
70481,2022-07-03,5,9
70481,2022-08-18,6,3
70481,2023-08-29,7,5
