site_id,collect_siteid,group,proportion
10223,10055,released,0.22905027932960895
10223,10206,released,0.31843575418994413
10223,10593,released,0.3407821229050279
10223,NA,released,0.11173184357541899
10225,10055,released,0.22448979591836735
10225,10206,released,0.4013605442176871
10225,10593,released,0.3741496598639456
70470,70397,released,0.3055555555555556
70470,70567,released,0.6944444444444444
70481,70397,released,0.36507936507936506
70481,70567,released,0.6349206349206349
10223,10055,captured,0.1643835616438356
10223,10206,captured,0.2602739726027397
10223,10593,captured,0.4794520547945205
10223,NA,captured,0.0958904109589041
10225,10055,captured,0.06521739130434782
10225,10206,captured,0.32608695652173914
10225,10593,captured,0.6086956521739131
70470,70397,captured,0.16666666666666666
70470,70567,captured,0.8333333333333334
70481,70397,captured,0.35714285714285715
70481,70567,captured,0.6428571428571429
