site_id,collect_siteid,collect_year,zoo,release_year,n_release
10109,10037,2020,oaz,2021,11
10109,10037,2020,sfz,2021,16
10109,10037,2020,sfz,2022,3
10109,10055,2021,sfz,2022,73
10109,10055,2022,sfz,2023,58
10114,10037,2020,oaz,2021,10
10114,10037,2020,sfz,2021,17
10114,10055,2021,sfz,2022,68
10114,10055,2022,sfz,2023,58
10223,10055,2019,oaz,2020,11
10223,10055,2019,sfz,2020,22
10223,10055,2019,oaz,2021,8
10223,10206,2019,oaz,2020,15
10223,10206,2019,sfz,2020,42
10223,10593,2018,sfz,2020,6
10223,10593,2019,sfz,2020,36
10223,10593,2019,oaz,2020,15
10223,10593,2019,oaz,2021,4
10223,NA,NA,sfz,2021,20
10225,10055,2019,oaz,2020,11
10225,10055,2019,sfz,2020,22
10225,10206,2019,sfz,2020,43
10225,10206,2019,oaz,2020,16
10225,10593,2019,sfz,2020,35
10225,10593,2018,sfz,2020,6
10225,10593,2019,oaz,2020,14
70470,70284,2019,sfz,2020,30
70470,70397,2019,sfz,2020,26
70470,70397,2018,sfz,2020,7
70470,70567,2018,sfz,2019,45
70481,70284,2019,sfz,2020,28
70481,70284,2019,sfz,2021,8
70481,70397,2019,sfz,2020,27
70481,70397,2018,sfz,2020,6
70481,70397,2019,sfz,2021,13
70481,70567,2018,sfz,2019,44
